testcase,result,"(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'OX'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O0'))","(('compiler', 'clang'), ('executer', 'native'), ('suite', 'llvm'), ('cflags', 'O1'))",comment
MultiSource/Benchmarks/TSVC/CrossingThresholds-dbl/CrossingThresholds-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/CrossingThresholds-flt/CrossingThresholds-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Equivalencing-dbl/Equivalencing-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Equivalencing-flt/Equivalencing-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Expansion-dbl/Expansion-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Expansion-flt/Expansion-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/GlobalDataFlow-dbl/GlobalDataFlow-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/GlobalDataFlow-flt/GlobalDataFlow-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/IndirectAddressing-dbl/IndirectAddressing-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/IndirectAddressing-flt/IndirectAddressing-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/InductionVariable-dbl/InductionVariable-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/InductionVariable-flt/InductionVariable-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/LinearDependence-dbl/LinearDependence-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/LinearDependence-flt/LinearDependence-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/LoopRerolling-dbl/LoopRerolling-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/LoopRerolling-flt/LoopRerolling-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/LoopRestructuring-dbl/LoopRestructuring-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/LoopRestructuring-flt/LoopRestructuring-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/NodeSplitting-dbl/NodeSplitting-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/NodeSplitting-flt/NodeSplitting-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Packing-dbl/Packing-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Packing-flt/Packing-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Recurrences-dbl/Recurrences-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Recurrences-flt/Recurrences-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Reductions-dbl/Reductions-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Reductions-flt/Reductions-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Searching-dbl/Searching-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Searching-flt/Searching-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/StatementReordering-dbl/StatementReordering-dbl,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/StatementReordering-flt/StatementReordering-flt,--,PASS,PASS,PASS,--
MultiSource/Benchmarks/TSVC/Symbolics-dbl/Symbolics-dbl,--,PASS,PASS,PASS,--
